game_id,move_id,vision,vision_simple,vision_advanced,vision_expert,snake_length,head_direction,head_pos,apple_pos,move,apple_pos_new,facing_apple,closed_region,hit,life,prob_to_live
7144,5,3000,0111,01110011,011100111000,4,2,"(5, 4)","(3, 5)",0,"(3, 5)",0,0,3,0,
7145,0,0030,1101,11010011,110100110010,3,0,"(5, 5)","(3, 6)",3,"(3, 6)",1,0,0,1,
7145,1,0300,1011,10110011,101100110100,3,3,"(4, 5)","(3, 6)",3,"(3, 6)",1,0,0,1,
7145,2,0310,1011,10110010,101100100100,3,3,"(3, 5)","(3, 6)",0,"(3, 6)",0,0,0,1,
7145,3,0030,1101,11010010,110100100010,3,0,"(3, 4)","(3, 6)",1,"(3, 6)",0,0,0,1,
7145,4,0003,1110,11100011,111000110001,3,1,"(4, 4)","(3, 6)",1,"(3, 6)",0,0,0,1,
7145,5,0003,1110,11100011,111000110001,3,1,"(5, 4)","(3, 6)",2,"(3, 6)",1,0,0,1,
7145,6,3000,0111,01110011,011100111000,3,2,"(5, 5)","(3, 6)",0,"(3, 6)",0,0,3,0,
7146,0,0030,1101,11011100,110111000010,3,0,"(5, 5)","(6, 2)",3,"(6, 2)",0,0,0,1,
7146,1,0300,1011,10111100,101111000100,3,3,"(4, 5)","(6, 2)",2,"(6, 2)",0,0,0,1,
7146,2,3000,0111,01111100,011111001000,3,2,"(4, 6)","(6, 2)",3,"(6, 2)",0,0,0,1,
7146,3,0300,1011,10111100,101111000100,3,3,"(3, 6)","(6, 2)",2,"(6, 2)",0,0,0,1,
7146,4,3000,0111,01111100,011111001000,3,2,"(3, 7)","(6, 2)",2,"(6, 2)",0,0,0,1,
7146,5,3000,0111,01111100,011111001000,3,2,"(3, 8)","(6, 2)",1,"(6, 2)",1,0,0,1,
7146,6,0003,1110,11101100,111011000001,3,1,"(4, 8)","(6, 2)",2,"(6, 2)",0,0,0,1,
7146,7,3050,0101,01011100,010111001000,3,2,"(4, 9)","(6, 2)",0,"(6, 2)",1,0,3,0,
7147,0,0030,1101,11010010,110100100010,3,0,"(5, 5)","(5, 9)",0,"(5, 9)",0,0,0,1,
7147,1,0030,1101,11010010,110100100010,3,0,"(5, 4)","(5, 9)",2,"(5, 9)",1,0,3,0,
7148,0,0030,1101,11010010,110100100010,3,0,"(5, 5)","(5, 9)",2,"(5, 9)",1,0,3,0,
7149,0,0030,1101,11010011,110100110010,3,0,"(5, 5)","(0, 9)",1,"(0, 9)",0,0,0,1,
7149,1,0003,1110,11100011,111000110001,3,1,"(6, 5)","(0, 9)",3,"(0, 9)",1,0,3,0,
7150,0,0030,1101,11011100,110111000010,3,0,"(5, 5)","(9, 3)",2,"(9, 3)",0,0,3,0,
7151,0,0030,1101,11010011,110100110010,3,0,"(5, 5)","(4, 7)",2,"(4, 7)",1,0,3,0,
7152,0,0030,1101,11011001,110110010010,3,0,"(5, 5)","(0, 4)",1,"(0, 4)",0,0,0,1,
7152,1,0003,1110,11101001,111010010001,3,1,"(6, 5)","(0, 4)",0,"(0, 4)",1,0,0,1,
7152,2,0030,1101,11010001,110100010010,3,0,"(6, 4)","(0, 4)",3,"(0, 4)",1,0,0,1,
7152,3,0300,1011,10110001,101100010100,3,3,"(5, 4)","(0, 4)",0,"(0, 4)",0,0,0,1,
7152,4,0030,1101,11010011,110100110010,3,0,"(5, 3)","(0, 4)",1,"(0, 4)",0,0,0,1,
7152,5,0003,1110,11100011,111000110001,3,1,"(6, 3)","(0, 4)",3,"(0, 4)",1,0,3,0,
7153,0,0031,1101,11010001,110100010010,3,0,"(5, 5)","(4, 5)",3,"(3, 2)",1,0,1,1,
7153,1,0300,1011,10111001,101110010100,4,3,"(4, 5)","(3, 2)",1,"(3, 2)",0,0,3,0,
7154,0,0030,1101,11011001,110110010010,3,0,"(5, 5)","(3, 0)",0,"(3, 0)",1,0,0,1,
7154,1,0030,1101,11011001,110110010010,3,0,"(5, 4)","(3, 0)",2,"(3, 0)",0,0,3,0,
7155,0,0030,1101,11010011,110100110010,3,0,"(5, 5)","(3, 7)",3,"(3, 7)",1,0,0,1,
7155,1,0300,1011,10110011,101100110100,3,3,"(4, 5)","(3, 7)",2,"(3, 7)",1,0,0,1,
7155,2,3000,0111,01110011,011100111000,3,2,"(4, 6)","(3, 7)",3,"(3, 7)",1,0,0,1,
7155,3,0310,1011,10110010,101100100100,3,3,"(3, 6)","(3, 7)",0,"(3, 7)",0,0,0,1,
7155,4,0030,1101,11010010,110100100010,3,0,"(3, 5)","(3, 7)",0,"(3, 7)",0,0,0,1,
7155,5,0030,1101,11010010,110100100010,3,0,"(3, 4)","(3, 7)",2,"(3, 7)",1,0,3,0,
